name,postal_code,country_code
 Sveti Jurij ob Ščavnici,9244,SI
 Spodnji Ivanjci,9245,SI
 Gornja Radgona,9250,SI
 Tišina,9251,SI
 Radenci,9252,SI
 Apače,9253,SI
 Cankova,9261,SI
 Rogašovci,9262,SI
 Kuzma,9263,SI
 Grad,9264,SI
 Bodonci,9265,SI
